Ref,Val,Package,PosX,PosY,Rot,Side
"R8","470Ω","R_0402_1005Metric",178.390000,-58.792500,180.000000,bottom
"R9","750kΩ","R_0603_1608Metric",104.500000,-54.975000,90.000000,bottom
"R10","100kΩ","R_0402_1005Metric",104.500000,-52.490000,-90.000000,bottom
"R11","100kΩ","R_0402_1005Metric",121.760000,-49.800000,0.000000,bottom
"R12","10kΩ","R_0402_1005Metric",150.040000,-61.550000,0.000000,bottom
"R13","100kΩ","R_0402_1005Metric",129.900000,-65.200000,180.000000,bottom
"R14","10kΩ","R_0402_1005Metric",101.540000,-63.450000,0.000000,bottom
"R15","100kΩ","R_0402_1005Metric",126.640000,-65.750000,0.000000,bottom
"R16","10kΩ","R_0402_1005Metric",131.490000,-80.550000,0.000000,bottom
"R17","10kΩ","R_0402_1005Metric",143.360000,-81.800000,180.000000,bottom
"R18","6.04kΩ","R_0603_1608Metric",146.975000,-66.200000,180.000000,bottom
"R19","10kΩ","R_0402_1005Metric",129.900000,-64.250000,0.000000,bottom
"R20","10kΩ","R_0402_1005Metric",131.490000,-83.100000,0.000000,bottom
"R21","10kΩ","R_0402_1005Metric",95.750000,-66.640000,90.000000,bottom
"R22","100kΩ","R_0402_1005Metric",126.640000,-66.700000,0.000000,bottom
"R23","100kΩ","R_0402_1005Metric",126.640000,-67.650000,0.000000,bottom
"R24","100kΩ","R_0402_1005Metric",126.640000,-68.600000,0.000000,bottom
"R25","10kΩ","R_0402_1005Metric",150.390000,-55.080000,-90.000000,bottom
"R26","10kΩ","R_0402_1005Metric",89.120000,-69.950000,180.000000,bottom
"R27","27Ω","R_0603_1608Metric",121.075000,-76.500000,180.000000,bottom
"R28","27Ω","R_0603_1608Metric",121.075000,-75.000000,180.000000,bottom
"R29","10kΩ","R_0402_1005Metric",106.100000,-79.610000,-90.000000,bottom
"R30","1kΩ","R_0402_1005Metric",100.390000,-74.450000,180.000000,bottom
"R31","330Ω","R_0402_1005Metric",114.040000,-114.350000,0.000000,bottom
"R32","330Ω","R_0402_1005Metric",109.040000,-114.350000,0.000000,bottom
"R33","330Ω","R_0402_1005Metric",104.040000,-114.350000,0.000000,bottom
"R34","100Ω","R_0402_1005Metric",99.390000,-68.050000,0.000000,bottom
"R35","220kΩ","R_0603_1608Metric",142.225000,-109.500000,180.000000,bottom
"R36","10kΩ","R_0402_1005Metric",171.350000,-70.300000,0.000000,bottom
"R37","1kΩ","R_0402_1005Metric",152.000000,-64.260000,-90.000000,bottom
"R38","100Ω","R_0402_1005Metric",159.490000,-71.542500,180.000000,bottom
"R39","10kΩ","R_0402_1005Metric",151.050000,-64.260000,-90.000000,bottom
"R40","27Ω","R_0603_1608Metric",146.375000,-71.500000,0.000000,bottom
"R41","27Ω","R_0603_1608Metric",146.375000,-73.000000,0.000000,bottom
